municipio,pre_2013,pos_2013,sede,tipo_alteracao
Braga,BRAGA (SÃO VICENTE),BRAGA (SÃO VICENTE),BRAGA (SÃO VICENTE),sem alteração
Braga,BRAGA (SÃO VÍTOR),BRAGA (SÃO VÍTOR),BRAGA (SÃO VÍTOR),sem alteração
Braga,BRAGA (SÉ),"UNIÃO DAS FREGUESIAS DE BRAGA (MAXIMINOS, SÉ E CIVIDADE)",BRAGA (MAXIMINOS),criada por agregação
Braga,CABREIROS,UNIÃO DAS FREGUESIAS DE CABREIROS E PASSOS (SÃO JULIÃO),CABREIROS,criada por agregação
Braga,CELEIRÓS,"UNIÃO DAS FREGUESIAS DE CELEIRÓS, AVELEDA E VIMIEIRO",CELEIRÓS,criada por agregação
Braga,CRESPOS,UNIÃO DAS FREGUESIAS DE CRESPOS E POUSADA,CRESPOS,criada por agregação
Braga,CUNHA,UNIÃO DAS FREGUESIAS DE ARENTIM E CUNHA,ARENTIM,criada por agregação
Braga,DUME,"UNIÃO DAS FREGUESIAS DE REAL, DUME E SEMELHE",REAL,criada por agregação
Braga,ESCUDEIROS,UNIÃO DAS FREGUESIAS DE ESCUDEIROS E PENSO (SANTO ESTÊVÃO E SÃO VICENTE),ESCUDEIROS,criada por agregação
Braga,ESPINHO,ESPINHO,ESPINHO,sem alteração
Braga,ESPORÕES,ESPORÕES,ESPORÕES,sem alteração
Braga,ESTE (SÃO MAMEDE),UNIÃO DAS FREGUESIAS DE ESTE (SÃO PEDRO E SÃO MAMEDE),ESTE (SÃO PEDRO),criada por agregação
Braga,ESTE (SÃO PEDRO),UNIÃO DAS FREGUESIAS DE ESTE (SÃO PEDRO E SÃO MAMEDE),ESTE (SÃO PEDRO),criada por agregação
Braga,FERREIROS,UNIÃO DAS FREGUESIAS DE FERREIROS E GONDIZALVES,FERREIROS,criada por agregação
Braga,FIGUEIREDO,FIGUEIREDO,FIGUEIREDO,sem alteração
Braga,FRADELOS,UNIÃO DAS FREGUESIAS DE VILAÇA E FRADELOS,VILAÇA,criada por agregação
Braga,FRAIÃO,"UNIÃO DAS FREGUESIAS DE NOGUEIRA, FRAIÃO E LAMAÇÃES",NOGUEIRA,criada por agregação
Braga,FROSSOS,UNIÃO DAS FREGUESIAS DE MERELIM (SÃO PEDRO) E FROSSOS,MERELIM (SÃO PEDRO),criada por agregação
Braga,GONDIZALVES,UNIÃO DAS FREGUESIAS DE FERREIROS E GONDIZALVES,FERREIROS,criada por agregação
Braga,GUALTAR,GUALTAR,GUALTAR,sem alteração
Braga,GUISANDE,UNIÃO DAS FREGUESIAS DE GUISANDE E OLIVEIRA (SÃO PEDRO),GUISANDE,criada por agregação
Braga,LAMAÇÃES,"UNIÃO DAS FREGUESIAS DE NOGUEIRA, FRAIÃO E LAMAÇÃES",NOGUEIRA,criada por agregação
Braga,LAMAS,LAMAS,LAMAS,sem alteração
Braga,LOMAR,UNIÃO DAS FREGUESIAS DE LOMAR E ARCOS,LOMAR,criada por agregação
Braga,MERELIM (SÃO PAIO),"UNIÃO DAS FREGUESIAS DE MERELIM (SÃO PAIO), PANOIAS E PARADA DE TIBÃES",MERELIM (SÃO PAIO),criada por agregação
Braga,MERELIM (SÃO PEDRO),UNIÃO DAS FREGUESIAS DE MERELIM (SÃO PEDRO) E FROSSOS,MERELIM (SÃO PEDRO),criada por agregação
Braga,MIRE DE TIBÃES,MIRE DE TIBÃES,MIRE DE TIBÃES,sem alteração
Braga,MORREIRA,UNIÃO DAS FREGUESIAS DE MORREIRA E TRANDEIRAS,MORREIRA,criada por agregação
Braga,NAVARRA,UNIÃO DAS FREGUESIAS DE SANTA LUCRÉCIA DE ALGERIZ E NAVARRA,SANTA LUCRÉCIA DE ALGERIZ,criada por agregação
Braga,NOGUEIRA,"UNIÃO DAS FREGUESIAS DE NOGUEIRA, FRAIÃO E LAMAÇÃES",NOGUEIRA,criada por agregação
Braga,NOGUEIRÓ,UNIÃO DAS FREGUESIAS DE NOGUEIRÓ E TENÕES,NOGUEIRÓ,criada por agregação
Braga,OLIVEIRA (SÃO PEDRO),UNIÃO DAS FREGUESIAS DE GUISANDE E OLIVEIRA (SÃO PEDRO),GUISANDE,criada por agregação
Braga,PADIM DA GRAÇA,PADIM DA GRAÇA,PADIM DA GRAÇA,sem alteração
Braga,PALMEIRA,PALMEIRA,PALMEIRA,sem alteração
Braga,PANOIAS,"UNIÃO DAS FREGUESIAS DE MERELIM (SÃO PAIO), PANOIAS E PARADA DE TIBÃES",MERELIM (SÃO PAIO),criada por agregação
Braga,PARADA DE TIBÃES,"UNIÃO DAS FREGUESIAS DE MERELIM (SÃO PAIO), PANOIAS E PARADA DE TIBÃES",MERELIM (SÃO PAIO),criada por agregação
Braga,PASSOS (SÃO JULIÃO),UNIÃO DAS FREGUESIAS DE CABREIROS E PASSOS (SÃO JULIÃO),CABREIROS,criada por agregação
Braga,PEDRALVA,PEDRALVA,PEDRALVA,sem alteração
Braga,PENSO (SANTO ESTÊVÃO),UNIÃO DAS FREGUESIAS DE ESCUDEIROS E PENSO (SANTO ESTÊVÃO E SÃO VICENTE),ESCUDEIROS,criada por agregação
Braga,PENSO (SÃO VICENTE),UNIÃO DAS FREGUESIAS DE ESCUDEIROS E PENSO (SANTO ESTÊVÃO E SÃO VICENTE),ESCUDEIROS,criada por agregação
Braga,POUSADA,UNIÃO DAS FREGUESIAS DE CRESPOS E POUSADA,CRESPOS,criada por agregação
Braga,PRISCOS,PRISCOS,PRISCOS,sem alteração
Braga,REAL,"UNIÃO DAS FREGUESIAS DE REAL, DUME E SEMELHE",REAL,criada por agregação
Braga,RUILHE,RUILHE,RUILHE,sem alteração
Braga,SANTA LUCRÉCIA DE ALGERIZ,UNIÃO DAS FREGUESIAS DE SANTA LUCRÉCIA DE ALGERIZ E NAVARRA,SANTA LUCRÉCIA DE ALGERIZ,criada por agregação
Braga,SEMELHE,"UNIÃO DAS FREGUESIAS DE REAL, DUME E SEMELHE",REAL,criada por agregação
Braga,SEQUEIRA,SEQUEIRA,SEQUEIRA,sem alteração
Braga,SOBREPOSTA,SOBREPOSTA,SOBREPOSTA,sem alteração
Braga,TADIM,TADIM,TADIM,sem alteração
Braga,TEBOSA,TEBOSA,TEBOSA,sem alteração
Braga,TENÕES,UNIÃO DAS FREGUESIAS DE NOGUEIRÓ E TENÕES,NOGUEIRÓ,criada por agregação
Braga,TRANDEIRAS,UNIÃO DAS FREGUESIAS DE MORREIRA E TRANDEIRAS,MORREIRA,criada por agregação
Braga,VILAÇA,UNIÃO DAS FREGUESIAS DE VILAÇA E FRADELOS,VILAÇA,criada por agregação
Braga,VIMIEIRO,"UNIÃO DAS FREGUESIAS DE CELEIRÓS, AVELEDA E VIMIEIRO",CELEIRÓS,criada por agregação
Bragança,ALFAIÃO,ALFAIÃO,ALFAIÃO,sem alteração
Bragança,AVELEDA,UNIÃO DAS FREGUESIAS DE AVELEDA E RIO DE ONOR,AVELEDA,criada por agregação
Bragança,BABE,BABE,BABE,sem alteração
Bragança,BAÇAL,BAÇAL,BAÇAL,sem alteração
Bragança,BRAGANÇA (SANTA MARIA),"UNIÃO DAS FREGUESIAS DE SÉ, SANTA MARIA E MEIXEDO",BRAGANÇA (SÉ),criada por agregação
Bragança,BRAGANÇA (SÉ),"UNIÃO DAS FREGUESIAS DE SÉ, SANTA MARIA E MEIXEDO",BRAGANÇA (SÉ),criada por agregação
Bragança,CALVELHE,"UNIÃO DAS FREGUESIAS DE IZEDA, CALVELHE E PARADINHA NOVA",IZEDA,criada por agregação
Bragança,CARRAGOSA,CARRAGOSA,CARRAGOSA,sem alteração
Bragança,CARRAZEDO,UNIÃO DAS FREGUESIAS DE CASTRELOS E CARRAZEDO,CASTRELOS,criada por agregação
Bragança,CASTRELOS,UNIÃO DAS FREGUESIAS DE CASTRELOS E CARRAZEDO,CASTRELOS,criada por agregação
Bragança,CASTRO DE AVELÃS,CASTRO DE AVELÃS,CASTRO DE AVELÃS,sem alteração
Bragança,COELHOSO,COELHOSO,COELHOSO,sem alteração
Bragança,DEILÃO,UNIÃO DAS FREGUESIAS DE SÃO JULIÃO DE PALÁCIOS E DEILÃO,SÃO JULIÃO DE PALÁCIOS,criada por agregação
Bragança,DONAI,DONAI,DONAI,sem alteração
Bragança,ESPINHOSELA,ESPINHOSELA,ESPINHOSELA,sem alteração
Bragança,FAILDE,UNIÃO DAS FREGUESIAS DE PARADA E FAILDE,PARADA,criada por agregação
Bragança,FRANÇA,FRANÇA,FRANÇA,sem alteração
Bragança,GIMONDE,GIMONDE,GIMONDE,sem alteração
Bragança,GONDESENDE,GONDESENDE,GONDESENDE,sem alteração
Bragança,GOSTEI,GOSTEI,GOSTEI,sem alteração
Bragança,GRIJÓ DE PARADA,GRIJÓ DE PARADA,GRIJÓ DE PARADA,sem alteração
Bragança,IZEDA,"UNIÃO DAS FREGUESIAS DE IZEDA, CALVELHE E PARADINHA NOVA",IZEDA,criada por agregação
Bragança,MACEDO DO MATO,MACEDO DO MATO,MACEDO DO MATO,sem alteração
Bragança,MEIXEDO,"UNIÃO DAS FREGUESIAS DE SÉ, SANTA MARIA E MEIXEDO",BRAGANÇA (SÉ),criada por agregação
Bragança,MILHÃO,UNIÃO DAS FREGUESIAS DE RIO FRIO E MILHÃO,RIO FRIO,criada por agregação
Bragança,MÓS,MÓS,MÓS,sem alteração
Bragança,NOGUEIRA,NOGUEIRA,NOGUEIRA,sem alteração
Bragança,OUTEIRO,OUTEIRO,OUTEIRO,sem alteração
Bragança,PARADA,UNIÃO DAS FREGUESIAS DE PARADA E FAILDE,PARADA,criada por agregação
Bragança,PARADINHA NOVA,"UNIÃO DAS FREGUESIAS DE IZEDA, CALVELHE E PARADINHA NOVA",IZEDA,criada por agregação
Bragança,PARÂMIO,PARÂMIO,PARÂMIO,sem alteração
Bragança,PINELA,PINELA,PINELA,sem alteração
Bragança,POMBARES,UNIÃO DAS FREGUESIAS DE REBORDAINHOS E POMBARES,REBORDAINHOS,criada por agregação
Bragança,QUINTANILHA,QUINTANILHA,QUINTANILHA,sem alteração
Bragança,QUINTELA DE LAMPAÇAS,QUINTELA DE LAMPAÇAS,QUINTELA DE LAMPAÇAS,sem alteração
Bragança,RABAL,RABAL,RABAL,sem alteração
Bragança,REBORDAINHOS,UNIÃO DAS FREGUESIAS DE REBORDAINHOS E POMBARES,REBORDAINHOS,criada por agregação
Bragança,REBORDÃOS,REBORDÃOS,REBORDÃOS,sem alteração
Bragança,RIO DE ONOR,UNIÃO DAS FREGUESIAS DE AVELEDA E RIO DE ONOR,AVELEDA,criada por agregação
Bragança,RIO FRIO,UNIÃO DAS FREGUESIAS DE RIO FRIO E MILHÃO,RIO FRIO,criada por agregação
Bragança,SALSAS,SALSAS,SALSAS,sem alteração
Bragança,SAMIL,SAMIL,SAMIL,sem alteração
Bragança,SANTA COMBA DE ROSSAS,SANTA COMBA DE ROSSAS,SANTA COMBA DE ROSSAS,sem alteração
Bragança,SÃO JULIÃO DE PALÁCIOS,UNIÃO DAS FREGUESIAS DE SÃO JULIÃO DE PALÁCIOS E DEILÃO,SÃO JULIÃO DE PALÁCIOS,criada por agregação
Bragança,SÃO PEDRO DE SARRACENOS,SÃO PEDRO DE SARRACENOS,SÃO PEDRO DE SARRACENOS,sem alteração
Bragança,SENDAS,SENDAS,SENDAS,sem alteração
Bragança,SERAPICOS,SERAPICOS,SERAPICOS,sem alteração
Bragança,SORTES,SORTES,SORTES,sem alteração
Bragança,ZOIO,ZOIO,ZOIO,sem alteração
Cabeceiras de Basto,ABADIM,ABADIM,ABADIM,sem alteração
Cabeceiras de Basto,ALVITE,UNIÃO DAS FREGUESIAS DE ALVITE E PASSOS,ALVITE,criada por agregação
Cabeceiras de Basto,ARCO DE BAÚLHE,UNIÃO DAS FREGUESIAS DE ARCO DE BAÚLHE E VILA NUNE,ARCO DE BAÚLHE,criada por agregação
Cabeceiras de Basto,BASTO,BASTO,BASTO,sem alteração
Cabeceiras de Basto,BUCOS,BUCOS,BUCOS,sem alteração
Cabeceiras de Basto,CABECEIRAS DE BASTO,CABECEIRAS DE BASTO,CABECEIRAS DE BASTO,sem alteração
Cabeceiras de Basto,CAVEZ,CAVEZ,CAVEZ,sem alteração
Cabeceiras de Basto,FAIA,FAIA,FAIA,sem alteração
Cabeceiras de Basto,GONDIÃES,UNIÃO DAS FREGUESIAS DE GONDIÃES E VILAR DE CUNHAS,GONDIÃES,criada por agregação
Cabeceiras de Basto,OUTEIRO,"UNIÃO DAS FREGUESIAS DE REFOJOS DE BASTO, OUTEIRO E PAINZELA",REFOJOS DE BASTO,criada por agregação
Cabeceiras de Basto,PAINZELA,"UNIÃO DAS FREGUESIAS DE REFOJOS DE BASTO, OUTEIRO E PAINZELA",REFOJOS DE BASTO,criada por agregação
Cabeceiras de Basto,PASSOS,UNIÃO DAS FREGUESIAS DE ALVITE E PASSOS,ALVITE,criada por agregação
Cabeceiras de Basto,PEDRAÇA,PEDRAÇA,PEDRAÇA,sem alteração
Cabeceiras de Basto,REFOJOS DE BASTO,"UNIÃO DAS FREGUESIAS DE REFOJOS DE BASTO, OUTEIRO E PAINZELA",REFOJOS DE BASTO,criada por agregação
Cabeceiras de Basto,RIO DOURO,RIO DOURO,RIO DOURO,sem alteração
Cabeceiras de Basto,VILA NUNE,UNIÃO DAS FREGUESIAS DE ARCO DE BAÚLHE E VILA NUNE,ARCO DE BAÚLHE,criada por agregação
Cabeceiras de Basto,VILAR DE CUNHAS,UNIÃO DAS FREGUESIAS DE GONDIÃES E VILAR DE CUNHAS,GONDIÃES,criada por agregação
Cadaval,ALGUBER,ALGUBER,ALGUBER,sem alteração
Cadaval,CADAVAL,UNIÃO DAS FREGUESIAS DO CADAVAL E PÊRO MONIZ,CADAVAL,criada por agregação
Cadaval,CERCAL,UNIÃO DAS FREGUESIAS DE LAMAS E CERCAL,LAMAS,criada por agregação
Cadaval,FIGUEIROS,UNIÃO DAS FREGUESIAS DE PAINHO E FIGUEIROS,FIGUEIROS,criada por agregação
Cadaval,LAMAS,UNIÃO DAS FREGUESIAS DE LAMAS E CERCAL,LAMAS,criada por agregação
Cadaval,PAINHO,UNIÃO DAS FREGUESIAS DE PAINHO E FIGUEIROS,FIGUEIROS,criada por agregação
Cadaval,PERAL,PERAL,PERAL,sem alteração
Cadaval,PÊRO MONIZ,UNIÃO DAS FREGUESIAS DO CADAVAL E PÊRO MONIZ,CADAVAL,criada por agregação
Cadaval,VERMELHA,VERMELHA,VERMELHA,sem alteração
Cadaval,VILAR,VILAR,VILAR,sem alteração
Caldas da Rainha,A DOS FRANCOS,A DOS FRANCOS,A DOS FRANCOS,sem alteração
Caldas da Rainha,ALVORNINHA,ALVORNINHA,ALVORNINHA,sem alteração
Caldas da Rainha,CARVALHAL BENFEITO,CARVALHAL BENFEITO,CARVALHAL BENFEITO,sem alteração
Caldas da Rainha,FOZ DO ARELHO,FOZ DO ARELHO,FOZ DO ARELHO,sem alteração
Caldas da Rainha,LANDAL,LANDAL,LANDAL,sem alteração
Caldas da Rainha,NADADOURO,NADADOURO,NADADOURO,sem alteração
Caldas da Rainha,SALIR DE MATOS,SALIR DE MATOS,SALIR DE MATOS,sem alteração
Caldas da Rainha,SALIR DO PORTO,UNIÃO DAS FREGUESIAS DE TORNADA E SALIR DO PORTO,TORNADA,criada por agregação
Caldas da Rainha,SANTA CATARINA,SANTA CATARINA,SANTA CATARINA,sem alteração
Caldas da Rainha,TORNADA,UNIÃO DAS FREGUESIAS DE TORNADA E SALIR DO PORTO,TORNADA,criada por agregação
Caldas da Rainha,"UNIÃO DAS FREGUESIAS DAS CALDAS DA RAINHA - NOSSA SENHORA DO PÓPULO, COTO E SÃO GREGÓRIO","UNIÃO DAS FREGUESIAS DAS CALDAS DA RAINHA - NOSSA SENHORA DO PÓPULO, COTO E SÃO GREGÓRIO",NOSSA SENHORA DO PÓPULO,criada por alteração de limites territoriais
Caldas da Rainha,UNIÃO DAS FREGUESIAS DAS CALDAS DA RAINHA - SANTO ONOFRE E SERRA DO BOURO,UNIÃO DAS FREGUESIAS DAS CALDAS DA RAINHA - SANTO ONOFRE E SERRA DO BOURO,SANTO ONOFRE,criada por alteração de limites territoriais
Caldas da Rainha,VIDAIS,VIDAIS,VIDAIS,sem alteração
Caminha,ARGA DE BAIXO,"UNIÃO DAS FREGUESIAS DE ARGA (BAIXO, CIMA E SÃO JOÃO)",ARGA DE BAIXO,criada por agregação
Caminha,ARGA DE CIMA,"UNIÃO DAS FREGUESIAS DE ARGA (BAIXO, CIMA E SÃO JOÃO)",ARGA DE BAIXO,criada por agregação
Caminha,ARGA DE SÃO JOÃO,"UNIÃO DAS FREGUESIAS DE ARGA (BAIXO, CIMA E SÃO JOÃO)",ARGA DE BAIXO,criada por agregação
Caminha,ARGELA,ARGELA,ARGELA,sem alteração
Caminha,AZEVEDO,UNIÃO DAS FREGUESIAS DE VENADE E AZEVEDO,VENADE,criada por agregação
Caminha,ÂNCORA,ÂNCORA,ÂNCORA,sem alteração
Caminha,CAMINHA (MATRIZ),UNIÃO DAS FREGUESIAS DE CAMINHA (MATRIZ) E VILARELHO,CAMINHA (MATRIZ),criada por agregação
Caminha,CRISTELO,UNIÃO DAS FREGUESIAS DE MOLEDO E CRISTELO,MOLEDO,criada por agregação
Caminha,DEM,DEM,DEM,sem alteração
Caminha,GONDAR,UNIÃO DAS FREGUESIAS DE GONDAR E ORBACÉM,GONDAR,criada por agregação
Caminha,LANHELAS,LANHELAS,LANHELAS,sem alteração
Caminha,MOLEDO,UNIÃO DAS FREGUESIAS DE MOLEDO E CRISTELO,MOLEDO,criada por agregação
Caminha,ORBACÉM,UNIÃO DAS FREGUESIAS DE GONDAR E ORBACÉM,GONDAR,criada por agregação
Caminha,RIBA DE ÂNCORA,RIBA DE ÂNCORA,RIBA DE ÂNCORA,sem alteração
Caminha,SEIXAS,SEIXAS,SEIXAS,sem alteração
Caminha,VENADE,UNIÃO DAS FREGUESIAS DE VENADE E AZEVEDO,VENADE,criada por agregação
Caminha,VILA PRAIA DE ÂNCORA,VILA PRAIA DE ÂNCORA,VILA PRAIA DE ÂNCORA,sem alteração
Caminha,VILAR DE MOUROS,VILAR DE MOUROS,VILAR DE MOUROS,sem alteração
Caminha,VILARELHO,UNIÃO DAS FREGUESIAS DE CAMINHA (MATRIZ) E VILARELHO,CAMINHA (MATRIZ),criada por agregação
Caminha,VILE,VILE,VILE,sem alteração
Campo Maior,NOSSA SENHORA DA EXPECTAÇÃO,NOSSA SENHORA DA EXPECTAÇÃO,NOSSA SENHORA DA EXPECTAÇÃO,sem alteração
Campo Maior,NOSSA SENHORA DA GRAÇA DOS DEGOLADOS,NOSSA SENHORA DA GRAÇA DOS DEGOLADOS,NOSSA SENHORA DA GRAÇA DOS DEGOLADOS,sem alteração
Campo Maior,SÃO JOÃO BAPTISTA,SÃO JOÃO BAPTISTA,SÃO JOÃO BAPTISTA,sem alteração
Cantanhede,ANÇÃ,ANÇÃ,ANÇÃ,sem alteração
Cantanhede,BOLHO,UNIÃO DAS FREGUESIAS DE SEPINS E BOLHO,SEPINS,criada por agregação
Cantanhede,CADIMA,CADIMA,CADIMA,sem alteração
Cantanhede,CAMARNEIRA,UNIÃO DAS FREGUESIAS DE COVÕES E CAMARNEIRA,COVÕES,criada por agregação
Cantanhede,CANTANHEDE,UNIÃO DAS FREGUESIAS DE CANTANHEDE E POCARIÇA,CANTANHEDE,criada por agregação
Cantanhede,CORDINHÃ,CORDINHÃ,CORDINHÃ,sem alteração
Cantanhede,CORTICEIRO DE CIMA,UNIÃO DAS FREGUESIAS DE VILAMAR E CORTICEIRO DE CIMA,VILAMAR,criada por agregação
Cantanhede,COVÕES,UNIÃO DAS FREGUESIAS DE COVÕES E CAMARNEIRA,COVÕES,criada por agregação
Cantanhede,FEBRES,FEBRES,FEBRES,sem alteração
Cantanhede,MURTEDE,MURTEDE,MURTEDE,sem alteração
Cantanhede,OURENTÃ,OURENTÃ,OURENTÃ,sem alteração
Cantanhede,OUTIL,UNIÃO DAS FREGUESIAS DE PORTUNHOS E OUTIL,PORTUNHOS,criada por agregação
Cantanhede,POCARIÇA,UNIÃO DAS FREGUESIAS DE CANTANHEDE E POCARIÇA,CANTANHEDE,criada por agregação
Cantanhede,PORTUNHOS,UNIÃO DAS FREGUESIAS DE PORTUNHOS E OUTIL,PORTUNHOS,criada por agregação
Cantanhede,SANGUINHEIRA,SANGUINHEIRA,SANGUINHEIRA,sem alteração
Cantanhede,SÃO CAETANO,SÃO CAETANO,SÃO CAETANO,sem alteração
Cantanhede,SEPINS,UNIÃO DAS FREGUESIAS DE SEPINS E BOLHO,SEPINS,criada por agregação
Cantanhede,TOCHA,TOCHA,TOCHA,sem alteração
Cantanhede,VILAMAR,UNIÃO DAS FREGUESIAS DE VILAMAR E CORTICEIRO DE CIMA,VILAMAR,criada por agregação
Carrazeda de Ansiães,AMEDO,UNIÃO DAS FREGUESIAS DE AMEDO E ZEDES,AMEDO,criada por agregação
Carrazeda de Ansiães,BEIRA GRANDE,"UNIÃO DAS FREGUESIAS DE LAVANDEIRA, BEIRA GRANDE E SELORES",LAVANDEIRA,criada por agregação
Carrazeda de Ansiães,BELVER,UNIÃO DAS FREGUESIAS DE BELVER E MOGO DE MALTA,BELVER,criada por agregação
Carrazeda de Ansiães,CARRAZEDA DE ANSIÃES,CARRAZEDA DE ANSIÃES,CARRAZEDADEANSIÃES,sem alteração
Carrazeda de Ansiães,CASTANHEIRO,UNIÃO DAS FREGUESIAS DE CASTANHEIRO DO NORTE E RIBALONGA,CASTANHEIRO,criada por agregação
Carrazeda de Ansiães,FONTE LONGA,FONTE LONGA,FONTE LONGA,sem alteração
Carrazeda de Ansiães,LAVANDEIRA,"UNIÃO DAS FREGUESIAS DE LAVANDEIRA, BEIRA GRANDE E SELORES",LAVANDEIRA,criada por agregação
Carrazeda de Ansiães,LINHARES,LINHARES,LINHARES,sem alteração
Carrazeda de Ansiães,MARZAGÃO,MARZAGÃO,MARZAGÃO,sem alteração
Carrazeda de Ansiães,MOGO DE MALTA,UNIÃO DAS FREGUESIAS DE BELVER E MOGO DE MALTA,BELVER,criada por agregação
Carrazeda de Ansiães,PARAMBOS,PARAMBOS,PARAMBOS,sem alteração
Carrazeda de Ansiães,PEREIROS,PEREIROS,PEREIROS,sem alteração
Carrazeda de Ansiães,PINHAL DO NORTE,PINHAL DO NORTE,PINHAL DO NORTE,sem alteração
Carrazeda de Ansiães,POMBAL,POMBAL,POMBAL,sem alteração
Carrazeda de Ansiães,RIBALONGA,UNIÃO DAS FREGUESIAS DE CASTANHEIRO DO NORTE E RIBALONGA,CASTANHEIRO,criada por agregação
Carrazeda de Ansiães,SEIXO DE ANSIÃES,SEIXO DE ANSIÃES,SEIXO DE ANSIÃES,sem alteração
Carrazeda de Ansiães,SELORES,"UNIÃO DAS FREGUESIAS DE LAVANDEIRA, BEIRA GRANDE E SELORES",LAVANDEIRA,criada por agregação
Carrazeda de Ansiães,VILARINHO DA CASTANHEIRA,VILARINHO DA CASTANHEIRA,VILARINHO DA CASTANHEIRA,sem alteração
Carrazeda de Ansiães,ZEDES,UNIÃO DAS FREGUESIAS DE AMEDO E ZEDES,AMEDO,criada por agregação
Carregal do Sal,BEIJÓS,BEIJÓS,BEIJÓS,sem alteração
Carregal do Sal,CABANAS DE VIRIATO,CABANAS DE VIRIATO,CABANAS DE VIRIATO,sem alteração
Carregal do Sal,CURRELOS,"UNIÃO DAS FREGUESIAS DE CURRELOS, PAPÍZIOS E SOBRAL",CURRELOS,criada por agregação
Carregal do Sal,OLIVEIRA DO CONDE,OLIVEIRA DO CONDE,OLIVEIRA DO CONDE,sem alteração
Carregal do Sal,PAPÍZIOS,"UNIÃO DAS FREGUESIAS DE CURRELOS, PAPÍZIOS E SOBRAL",CURRELOS,criada por agregação
Carregal do Sal,PARADA,PARADA,PARADA,sem alteração
Carregal do Sal,SOBRAL,"UNIÃO DAS FREGUESIAS DE CURRELOS, PAPÍZIOS E SOBRAL",CURRELOS,criada por agregação
Cartaxo,CARTAXO,UNIÃO DAS FREGUESIAS DO CARTAXO E VALE DA PINTA,VALE DA PINTA,criada por agregação
Cartaxo,EREIRA,UNIÃO DAS FREGUESIAS DE EREIRA E LAPA,EREIRA,criada por agregação
Cartaxo,LAPA,UNIÃO DAS FREGUESIAS DE EREIRA E LAPA,EREIRA,criada por agregação
Cartaxo,PONTÉVEL,PONTÉVEL,PONTÉVEL,sem alteração
Cartaxo,VALADA,VALADA,VALADA,sem alteração
Cartaxo,VALE DA PEDRA,VALE DA PEDRA,VALE DA PEDRA,sem alteração
Cartaxo,VALE DA PINTA,UNIÃO DAS FREGUESIAS DO CARTAXO E VALE DA PINTA,VALE DA PINTA,criada por agregação
Cartaxo,VILA CHÃ DE OURIQUE,VILA CHÃ DE OURIQUE,VILA CHÃ DE OURIQUE,sem alteração
Cascais,ALCABIDECHE,ALCABIDECHE,ALCABIDECHE,sem alteração
Cascais,CARCAVELOS,UNIÃO DAS FREGUESIAS DE CARCAVELOS E PAREDE,CARCAVELOS,criada por agregação
Cascais,CASCAIS,UNIÃO DAS FREGUESIAS DE CASCAIS E ESTORIL,CASCAIS,criada por agregação
Cascais,ESTORIL,UNIÃO DAS FREGUESIAS DE CASCAIS E ESTORIL,CASCAIS,criada por agregação
Cascais,PAREDE,UNIÃO DAS FREGUESIAS DE CARCAVELOS E PAREDE,CARCAVELOS,criada por agregação
Cascais,SÃO DOMINGOS DE RANA,SÃO DOMINGOS DE RANA,SÃO DOMINGOS DE RANA,sem alteração
Castanheira de Pêra,CASTANHEIRA DE PÊRA,UNIÃO DAS FREGUESIAS DE CASTANHEIRA DE PÊRA E COENTRAL,CASTANHEIRA DE PÊRA,criada por agregação
Castanheira de Pêra,COENTRAL,UNIÃO DAS FREGUESIAS DE CASTANHEIRA DE PÊRA E COENTRAL,CASTANHEIRA DE PÊRA,criada por agregação
Castelo Branco,ALCAINS,ALCAINS,ALCAINS,sem alteração
Castelo Branco,ALMACEDA,ALMACEDA,ALMACEDA,sem alteração
Castelo Branco,BENQUERENÇAS,BENQUERENÇAS,BENQUERENÇAS,sem alteração
Castelo Branco,CAFEDE,UNIÃO DAS FREGUESIAS DE PÓVOA DE RIO DE MOINHOS E CAFEDE,PÓVOA DE RIO DE MOINHOS,criada por agregação
Castelo Branco,CASTELO BRANCO,CASTELO BRANCO,CASTELO BRANCO,sem alteração
Castelo Branco,CEBOLAIS DE CIMA,UNIÃO DAS FREGUESIAS DE CEBOLAIS DE CIMA E RETAXO,CEBOLAIS DE CIMA,criada por agregação
Castelo Branco,ESCALOS DE BAIXO,UNIÃO DAS FREGUESIAS DE ESCALOS DE BAIXO E MATA,ESCALOS DE BAIXO,criada por agregação
Castelo Branco,ESCALOS DE CIMA,UNIÃO DAS FREGUESIAS DE ESCALOS DE CIMA E LOUSA,ESCALOS DE CIMA,criada por agregação
Castelo Branco,FREIXIAL DO CAMPO,UNIÃO DAS FREGUESIAS DE FREIXIAL E JUNCAL DO CAMPO,FREIXIAL DO CAMPO,criada por agregação
Castelo Branco,JUNCAL DO CAMPO,UNIÃO DAS FREGUESIAS DE FREIXIAL E JUNCAL DO CAMPO,FREIXIAL DO CAMPO,criada por agregação
Castelo Branco,LARDOSA,LARDOSA,LARDOSA,sem alteração
Castelo Branco,LOURIÇAL DO CAMPO,LOURIÇAL DO CAMPO,LOURIÇAL DO CAMPO,sem alteração
Castelo Branco,LOUSA,UNIÃO DAS FREGUESIAS DE ESCALOS DE CIMA E LOUSA,ESCALOS DE CIMA,criada por agregação
Castelo Branco,MALPICA DO TEJO,MALPICA DO TEJO,MALPICA DO TEJO,sem alteração
