municipio,pre_2013,pos_2013,sede,tipo_alteracao
Santarém,AZOIA DE CIMA,UNIÃO DAS FREGUESIAS DE AZOIA DE CIMA E TREMÊS,TREMÊS,criada por agregação
Santarém,CASÉVEL,UNIÃO DAS FREGUESIAS DE CASÉVEL E VAQUEIROS,CASÉVEL,criada por agregação
Santarém,GANÇARIA,GANÇARIA,GANÇARIA,sem alteração
Santarém,MOÇARRIA,MOÇARRIA,MOÇARRIA,sem alteração
Santarém,PERNES,PERNES,PERNES,sem alteração
Santarém,PÓVOA DA ISENTA,PÓVOA DA ISENTA,PÓVOA DA ISENTA,sem alteração
Santarém,PÓVOA DE SANTARÉM,"UNIÃO DAS FREGUESIAS DE ACHETE, AZOIA DE BAIXO E PÓVOA DE SANTARÉM",ACHETE,criada por agregação
Santarém,ROMEIRA,UNIÃO DAS FREGUESIAS DE ROMEIRA E VÁRZEA,VÁRZEA,criada por agregação
Santarém,SANTA IRIA DA RIBEIRA DE SANTARÉM,"UNIÃO DAS FREGUESIAS DE SANTARÉM (MARVILA), SANTA IRIA DA RIBEIRA DE SANTARÉM, SANTARÉM (SÃO SALVADOR) E SANTARÉM (SÃO NICOLAU)",SANTARÉM (SÃO SALVADOR),criada por agregação
Santarém,SANTARÉM (MARVILA),"UNIÃO DAS FREGUESIAS DE SANTARÉM (MARVILA), SANTA IRIA DA RIBEIRA DE SANTARÉM, SANTARÉM (SÃO SALVADOR) E SANTARÉM (SÃO NICOLAU)",SANTARÉM (SÃO SALVADOR),criada por agregação
Santarém,SANTARÉM (SÃO NICOLAU),"UNIÃO DAS FREGUESIAS DE SANTARÉM (MARVILA), SANTA IRIA DA RIBEIRA DE SANTARÉM, SANTARÉM (SÃO SALVADOR) E SANTARÉM (SÃO NICOLAU)",SANTARÉM (SÃO SALVADOR),criada por agregação
Santarém,SANTARÉM (SÃO SALVADOR),"UNIÃO DAS FREGUESIAS DE SANTARÉM (MARVILA), SANTA IRIA DA RIBEIRA DE SANTARÉM, SANTARÉM (SÃO SALVADOR) E SANTARÉM (SÃO NICOLAU)",SANTARÉM (SÃO SALVADOR),criada por agregação
Santarém,SÃO VICENTE DO PAUL,UNIÃO DAS FREGUESIAS DE SÃO VICENTE DO PAUL E VALE DE FIGUEIRA,SÃO VICENTE DO PAUL,criada por agregação
Santarém,TREMÊS,UNIÃO DAS FREGUESIAS DE AZOIA DE CIMA E TREMÊS,TREMÊS,criada por agregação
Santarém,VALE DE FIGUEIRA,UNIÃO DAS FREGUESIAS DE SÃO VICENTE DO PAUL E VALE DE FIGUEIRA,SÃO VICENTE DO PAUL,criada por agregação
Santarém,VALE DE SANTARÉM,VALE DE SANTARÉM,VALE DE SANTARÉM,sem alteração
