municipio,antiga,nova,territorio,total,sede
Alcobaça,ALCOBAÇA,UNIÃO DAS FREGUESIAS DE ALCOBAÇA E VESTIARIA,Nenhuma,UNIÃO DAS FREGUESIAS DE ALCOBAÇA E VESTIARIA,ALCOBAÇA
Alcobaça,VESTIARIA,UNIÃO DAS FREGUESIAS DE ALCOBAÇA E VESTIARIA,Nenhuma,UNIÃO DAS FREGUESIAS DE ALCOBAÇA E VESTIARIA,ALCOBAÇA
Alcobaça,ALPEDRIZ,"UNIÃO DAS FREGUESIAS DE COZ, ALPEDRIZ E MONTES",Nenhuma,"UNIÃO DAS FREGUESIAS DE COZ, ALPEDRIZ E MONTES",COZ
Alcobaça,COZ,"UNIÃO DAS FREGUESIAS DE COZ, ALPEDRIZ E MONTES",Nenhuma,"UNIÃO DAS FREGUESIAS DE COZ, ALPEDRIZ E MONTES",COZ
Alcobaça,MONTES,"UNIÃO DAS FREGUESIAS DE COZ, ALPEDRIZ E MONTES",Nenhuma,"UNIÃO DAS FREGUESIAS DE COZ, ALPEDRIZ E MONTES",COZ
Alcobaça,MARTINGANÇA,UNIÃO DAS FREGUESIAS DE PATAIAS E MARTINGANÇA,Nenhuma,UNIÃO DAS FREGUESIAS DE PATAIAS E MARTINGANÇA,PATAIAS
Alcobaça,PATAIAS,UNIÃO DAS FREGUESIAS DE PATAIAS E MARTINGANÇA,Nenhuma,UNIÃO DAS FREGUESIAS DE PATAIAS E MARTINGANÇA,PATAIAS
Alcobaça,,,Nenhuma,ALFEIZERÃO,ALFEIZERÃO
Alcobaça,,,Nenhuma,BENEDITA,BENEDITA
Alcobaça,,,Nenhuma,BÁRRIO,BÁRRIO
Alcobaça,,,Nenhuma,CELA,CELA
Alcobaça,,,Nenhuma,MAIORGA,MAIORGA
Alcobaça,,,Nenhuma,SÃO MARTINHO DO PORTO,SÃO MARTINHO DO PORTO
Alcobaça,,,Nenhuma,TURQUEL,TURQUEL
Alcobaça,,,Nenhuma,VIMEIRO,VIMEIRO
Alcobaça,,,Nenhuma,ÉVORA DE ALCOBAÇA,ÉVORA DE ALCOBAÇA
Alcochete,,,Nenhuma,ALCOCHETE,ALCOCHETE
Alcochete,,,Nenhuma,SAMOUCO,SAMOUCO
Alcochete,,,Nenhuma,SÃO FRANCISCO,SÃO FRANCISCO
Alcoutim,ALCOUTIM,UNIÃO DAS FREGUESIAS DE ALCOUTIM E PEREIRO,Nenhuma,UNIÃO DAS FREGUESIAS DE ALCOUTIM E PEREIRO,ALCOUTIM
Alcoutim,PEREIRO,UNIÃO DAS FREGUESIAS DE ALCOUTIM E PEREIRO,Nenhuma,UNIÃO DAS FREGUESIAS DE ALCOUTIM E PEREIRO,ALCOUTIM
Alcoutim,,,Nenhuma,GIÕES,GIÕES
Alcoutim,,,Nenhuma,MARTIM LONGO,MARTIM LONGO
Alcoutim,,,Nenhuma,VAQUEIROS,VAQUEIROS
Alcácer do Sal,ALCÁCER DO SAL (SANTA MARIA DO CASTELO),UNIÃO DAS FREGUESIAS DE ALCÁCER DO SAL (SANTA MARIA DO CASTELO E SANTIAGO) E SANTA SUSANA,Nenhuma,UNIÃO DAS FREGUESIAS DE ALCÁCER DO SAL (SANTA MARIA DO CASTELO E SANTIAGO) E SANTA SUSANA,ALCÁCER DO SAL (SANTIAGO)
Alcácer do Sal,ALCÁCER DO SAL (SANTIAGO),UNIÃO DAS FREGUESIAS DE ALCÁCER DO SAL (SANTA MARIA DO CASTELO E SANTIAGO) E SANTA SUSANA,Nenhuma,UNIÃO DAS FREGUESIAS DE ALCÁCER DO SAL (SANTA MARIA DO CASTELO E SANTIAGO) E SANTA SUSANA,ALCÁCER DO SAL (SANTIAGO)
Alcácer do Sal,SANTA SUSANA,UNIÃO DAS FREGUESIAS DE ALCÁCER DO SAL (SANTA MARIA DO CASTELO E SANTIAGO) E SANTA SUSANA,Nenhuma,UNIÃO DAS FREGUESIAS DE ALCÁCER DO SAL (SANTA MARIA DO CASTELO E SANTIAGO) E SANTA SUSANA,ALCÁCER DO SAL (SANTIAGO)
Alcácer do Sal,,,Nenhuma,COMPORTA,COMPORTA
Alcácer do Sal,,,Nenhuma,SÃO MARTINHO,SÃO MARTINHO
Alcácer do Sal,,,Nenhuma,TORRÃO,TORRÃO
Alenquer,ABRIGADA,UNIÃO DAS FREGUESIAS DE ABRIGADA E CABANAS DE TORRES,Nenhuma,UNIÃO DAS FREGUESIAS DE ABRIGADA E CABANAS DE TORRES,ABRIGADA
Alenquer,CABANAS DE TORRES,UNIÃO DAS FREGUESIAS DE ABRIGADA E CABANAS DE TORRES,Nenhuma,UNIÃO DAS FREGUESIAS DE ABRIGADA E CABANAS DE TORRES,ABRIGADA
Alenquer,ALDEIA GALEGA DA MERCEANA,UNIÃO DAS FREGUESIAS DE ALDEIA GALEGA DA MERCEANA E ALDEIA GAVINHA,Nenhuma,UNIÃO DAS FREGUESIAS DE ALDEIA GALEGA DA MERCEANA E ALDEIA GAVINHA,ALDEIA GALEGA DA MERCEANA
Alenquer,ALDEIA GAVINHA,UNIÃO DAS FREGUESIAS DE ALDEIA GALEGA DA MERCEANA E ALDEIA GAVINHA,Nenhuma,UNIÃO DAS FREGUESIAS DE ALDEIA GALEGA DA MERCEANA E ALDEIA GAVINHA,ALDEIA GALEGA DA MERCEANA
Alenquer,ALENQUER (SANTO ESTÊVÃO),UNIÃO DAS FREGUESIAS DE ALENQUER (SANTO ESTÊVÃO E TRIANA),Nenhuma,UNIÃO DAS FREGUESIAS DE ALENQUER (SANTO ESTÊVÃO E TRIANA),ALENQUER (SANTO ESTÊVÃO)
Alenquer,ALENQUER (TRIANA),UNIÃO DAS FREGUESIAS DE ALENQUER (SANTO ESTÊVÃO E TRIANA),Nenhuma,UNIÃO DAS FREGUESIAS DE ALENQUER (SANTO ESTÊVÃO E TRIANA),ALENQUER (SANTO ESTÊVÃO)
Alenquer,CADAFAIS,UNIÃO DAS FREGUESIAS DE CARREGADO E CADAFAIS,Nenhuma,UNIÃO DAS FREGUESIAS DE CARREGADO E CADAFAIS,CARREGADO
Alenquer,CARREGADO,UNIÃO DAS FREGUESIAS DE CARREGADO E CADAFAIS,Nenhuma,UNIÃO DAS FREGUESIAS DE CARREGADO E CADAFAIS,CARREGADO
Alenquer,PEREIRO DE PLAHACANA,UNIÃO DAS FREGUESIAS DE RIBAFRIA E PEREIRO DE PALHACANA,Nenhuma,UNIÃO DAS FREGUESIAS DE RIBAFRIA E PEREIRO DE PALHACANA,RIBAFRIA
Alenquer,RIBAFRIA,UNIÃO DAS FREGUESIAS DE RIBAFRIA E PEREIRO DE PALHACANA,Nenhuma,UNIÃO DAS FREGUESIAS DE RIBAFRIA E PEREIRO DE PALHACANA,RIBAFRIA
Alenquer,,,Nenhuma,CARNOTA,CARNOTA
Alenquer,,,Nenhuma,MECA,MECA
Alenquer,,,Nenhuma,OLHALVO,OLHALVO
Alenquer,,,Nenhuma,OTA,OTA
Alenquer,,,Nenhuma,VENTOSA,VENTOSA
Alenquer,,,Nenhuma,VILA VERDE DOS FRANCOS,VILA VERDE DOS FRANCOS
Alfândega da Fé,AGROBOM,"UNIÃO DAS FREGUESIAS DE AGROBOM, SALDONHA E VALE PEREIRO",Nenhuma,"UNIÃO DAS FREGUESIAS DE AGROBOM, SALDONHA E VALE PEREIRO",AGROBOM
Alfândega da Fé,SALDONHA,"UNIÃO DAS FREGUESIAS DE AGROBOM, SALDONHA E VALE PEREIRO",Nenhuma,"UNIÃO DAS FREGUESIAS DE AGROBOM, SALDONHA E VALE PEREIRO",AGROBOM
Alfândega da Fé,VALE PEREIRO,"UNIÃO DAS FREGUESIAS DE AGROBOM, SALDONHA E VALE PEREIRO",Nenhuma,"UNIÃO DAS FREGUESIAS DE AGROBOM, SALDONHA E VALE PEREIRO",AGROBOM
Alfândega da Fé,EUCISIA,"UNIÃO DAS FREGUESIAS DE EUCISIA, GOUVEIA E VALVERDE",Nenhuma,"UNIÃO DAS FREGUESIAS DE EUCISIA, GOUVEIA E VALVERDE",EUCISIA
Alfândega da Fé,GOUVEIA,"UNIÃO DAS FREGUESIAS DE EUCISIA, GOUVEIA E VALVERDE",Nenhuma,"UNIÃO DAS FREGUESIAS DE EUCISIA, GOUVEIA E VALVERDE",EUCISIA
Alfândega da Fé,VALVERDE,"UNIÃO DAS FREGUESIAS DE EUCISIA, GOUVEIA E VALVERDE",Nenhuma,"UNIÃO DAS FREGUESIAS DE EUCISIA, GOUVEIA E VALVERDE",EUCISIA
Alfândega da Fé,FERRADOSA,UNIÃO DAS FREGUESIAS DE FERRADOSA E SENDIM DA SERRA,Nenhuma,UNIÃO DAS FREGUESIAS DE FERRADOSA E SENDIM DA SERRA,FERRADOSA
Alfândega da Fé,SENDIM DA SERRA,UNIÃO DAS FREGUESIAS DE FERRADOSA E SENDIM DA SERRA,Nenhuma,UNIÃO DAS FREGUESIAS DE FERRADOSA E SENDIM DA SERRA,FERRADOSA
Alfândega da Fé,GEBELIM,UNIÃO DAS FREGUESIAS DE GEBELIM E SOEIMA,Nenhuma,UNIÃO DAS FREGUESIAS DE GEBELIM E SOEIMA,GEBELIM
Alfândega da Fé,SOEIMA,UNIÃO DAS FREGUESIAS DE GEBELIM E SOEIMA,Nenhuma,UNIÃO DAS FREGUESIAS DE GEBELIM E SOEIMA,GEBELIM
Alfândega da Fé,PARADA,UNIÃO DAS FREGUESIAS DE PARADA E SENDIM DA RIBEIRA,Nenhuma,UNIÃO DAS FREGUESIAS DE PARADA E SENDIM DA RIBEIRA,PARADA
Alfândega da Fé,SENDIM DA RIBEIRA,UNIÃO DAS FREGUESIAS DE PARADA E SENDIM DA RIBEIRA,Nenhuma,UNIÃO DAS FREGUESIAS DE PARADA E SENDIM DA RIBEIRA,PARADA
Alfândega da Fé,POMBAL,UNIÃO DAS FREGUESIAS DE POMBAL E VALES,Nenhuma,UNIÃO DAS FREGUESIAS DE POMBAL E VALES,POMBAL
Alfândega da Fé,VALES,UNIÃO DAS FREGUESIAS DE POMBAL E VALES,Nenhuma,UNIÃO DAS FREGUESIAS DE POMBAL E VALES,POMBAL
Alfândega da Fé,,,Nenhuma,ALFÂNDEGA DA FÉ,ALFÂNDEGA DA FÉ
Alfândega da Fé,,,Nenhuma,CEREJAIS,CEREJAIS
Alfândega da Fé,,,Nenhuma,SAMBADE,SAMBADE
Alfândega da Fé,,,Nenhuma,VILAR CHÃO,VILAR CHÃO
Alfândega da Fé,,,Nenhuma,VILARELHOS,VILARELHOS
Alfândega da Fé,,,Nenhuma,VILARES DE VILARIÇA,VILARES DE VILARIÇA
Alijó,AMIEIRO,UNIÃO DAS FREGUESIAS DE CARLÃO E AMIEIRO,Nenhuma,UNIÃO DAS FREGUESIAS DE CARLÃO E AMIEIRO,CARLÃO
Alijó,CARLÃO,UNIÃO DAS FREGUESIAS DE CARLÃO E AMIEIRO,Nenhuma,UNIÃO DAS FREGUESIAS DE CARLÃO E AMIEIRO,CARLÃO
Alijó,CASTEDO,UNIÃO DAS FREGUESIAS DE CASTEDO E COTAS,Nenhuma,UNIÃO DAS FREGUESIAS DE CASTEDO E COTAS,CASTEDO
Alijó,COTAS,UNIÃO DAS FREGUESIAS DE CASTEDO E COTAS,Nenhuma,UNIÃO DAS FREGUESIAS DE CASTEDO E COTAS,CASTEDO
Alijó,PÓPULO,UNIÃO DAS FREGUESIAS DE PÓPULO E RIBALONGA,Nenhuma,UNIÃO DAS FREGUESIAS DE PÓPULO E RIBALONGA,PÓPULO
